GEO_ID,S1903_C03_001E
id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
1400000US13067031101,59093
1400000US13067031106,76182
1400000US13067031108,57610
1400000US13067031110,66154
1400000US13067031111,86115
1400000US13067031112,101548
1400000US13067031113,45917
1400000US13067031114,56370
1400000US13067031115,75123
1400000US13067031116,50054
1400000US13067031117,90967
1400000US13067031118,84936
1400000US13067031205,87910
1400000US13067031206,79192
1400000US13067031207,78977
1400000US13067031208,73611
1400000US13067031209,149583
1400000US13067031211,82330
1400000US13067031212,184000
1400000US13067031306,78824
1400000US13067031307,84342
1400000US13067031308,53227
1400000US13067031309,52960
1400000US13067031310,38231
1400000US13067031311,44250
1400000US13067031312,86808
1400000US13067031313,117366
1400000US13067031404,78671
1400000US13067031405,58530
1400000US13067031406,45363
1400000US13067031408,57975
1400000US13067031409,58739
1400000US13067031503,65530
1400000US13067031505,72940
1400000US13067031506,56458
1400000US13067031507,68688
1400000US13067031508,72361
1400000US13067031509,81583
1400000US13069010100,38395
1400000US13069010200,46887
1400000US13069010300,40409
1400000US13069010400,41725
1400000US13069010500,36760
1400000US13069010600,54107
1400000US13069010700,39408
1400000US13069010801,29716
1400000US13069010802,40250
1400000US13071970100,38750
1400000US13071970200,39615
1400000US13071970300,25833
1400000US13071970400,31914
1400000US13071970500,50000
1400000US13071970600,42342
1400000US13071970701,36331
1400000US13071970702,19137
1400000US13071970800,41528
1400000US13071970900,38786
1400000US13073030102,135465
1400000US13073030103,113229
1400000US13073030105,81575
1400000US13073030106,59450
1400000US13073030201,85354
1400000US13073030202,65000
1400000US13073030203,68898
1400000US13073030302,64644
1400000US13073030304,102138
1400000US13073030306,82255
1400000US13073030307,104232
1400000US13073030308,118042
1400000US13073030309,105750
1400000US13073030401,65938
1400000US13073030402,85000
1400000US13073030503,64701
1400000US13073030504,68819
1400000US13073030505,72593
1400000US13073030506,67807
1400000US13073030603,52699
1400000US13075960100,39653
1400000US13075960200,32311
1400000US13075960300,47808
1400000US13075960400,41935
1400000US13077170100,70008
1400000US13077170200,54070
1400000US13077170303,113257
1400000US13077170304,84496
1400000US13077170305,41199
1400000US13077170306,81297
1400000US13077170402,101437
1400000US13077170403,104661
1400000US13077170404,81150
1400000US13077170405,93811
1400000US13077170406,86741
1400000US13077170501,77542
1400000US13077170502,80625
1400000US13077170503,86981
1400000US13077170601,42679
1400000US13077170602,104295
1400000US13077170603,88521
1400000US13077170700,46250
1400000US13077170801,69344
1400000US13077170802,71908
1400000US13079070100,33917
1400000US13079070201,49009
1400000US13079070202,40625
1400000US13081010100,28338
1400000US13081010201,40058
1400000US13081010202,39222
1400000US13081010300,41918
1400000US13081010400,33065
1400000US13081010500,44408
1400000US13083040101,40453
1400000US13083040102,38877
1400000US13083040200,57574
1400000US13083040300,47802
1400000US13085970100,61507
1400000US13085970201,81979
1400000US13085970202,68011
1400000US13087970100,43185
1400000US13087970200,44688
1400000US13087970300,34506
1400000US13087970400,30366
1400000US13087970600,52517
1400000US13087970700,43533
1400000US13087970800,46731
1400000US13089020100,170096
1400000US13089020200,84867
1400000US13089020300,147614
1400000US13089020400,106103
1400000US13089020500,65694
1400000US13089020600,63313
1400000US13089020700,95417
1400000US13089020801,94662
1400000US13089020802,73981
1400000US13089020900,71618
1400000US13089021101,166563
1400000US13089021102,110504
1400000US13089021202,127957
1400000US13089021204,28242
1400000US13089021208,74922
1400000US13089021209,80692
1400000US13089021210,168967
1400000US13089021211,106389
1400000US13089021213,154063
1400000US13089021214,172279
1400000US13089021215,100348
1400000US13089021216,86828
1400000US13089021217,106216
1400000US13089021218,60254
1400000US13089021301,46667
1400000US13089021303,43309
1400000US13089021305,55109
1400000US13089021306,50118
1400000US13089021307,50362
1400000US13089021308,52813
1400000US13089021405,126644
1400000US13089021409,50666
1400000US13089021410,62951
1400000US13089021411,92404
1400000US13089021412,115759
1400000US13089021413,47885
1400000US13089021414,53222
1400000US13089021415,111827
1400000US13089021416,108203
1400000US13089021417,54575
1400000US13089021502,72537
1400000US13089021503,57381
1400000US13089021504,77708
1400000US13089021602,85417
1400000US13089021603,66425
1400000US13089021604,159306
1400000US13089021605,82454
1400000US13089021703,149306
1400000US13089021704,105033
1400000US13089021705,42679
1400000US13089021706,88778
1400000US13089021805,76066
1400000US13089021806,68216
1400000US13089021808,85543
1400000US13089021809,99337
1400000US13089021810,74539
1400000US13089021812,72935
1400000US13089021813,44883
1400000US13089021814,39085
1400000US13089021906,46448
1400000US13089021907,55048
1400000US13089021908,36250
1400000US13089021909,37269
1400000US13089021910,42305
1400000US13089021911,27835
1400000US13089021912,164926
1400000US13089021913,32983
1400000US13089022001,66638
1400000US13089022004,53341
1400000US13089022005,39266
1400000US13089022007,39216
1400000US13089022008,32672
1400000US13089022009,41042
1400000US13089022010,59583
1400000US13089022100,44135
1400000US13089022203,66731
1400000US13089022204,68523
1400000US13089022301,73819
1400000US13089022302,89146
1400000US13089022401,110775
1400000US13089022402,32083
1400000US13089022403,174531
1400000US13089022500,90648
1400000US13089022600,82131
1400000US13089022700,136324
1400000US13089022800,136711
1400000US13089022900,79400
1400000US13089023000,83021
1400000US13089023101,56487
1400000US13089023102,39961
1400000US13089023107,51222
1400000US13089023108,32258
1400000US13089023111,62969
1400000US13089023112,29786
1400000US13089023113,40542
1400000US13089023114,51105
1400000US13089023115,-
1400000US13089023204,56263
1400000US13089023206,43190
1400000US13089023208,41216
1400000US13089023209,59983
1400000US13089023210,33682
1400000US13089023211,49980
1400000US13089023212,60033
1400000US13089023213,42517
1400000US13089023214,48150
1400000US13089023303,48638
1400000US13089023306,74544
1400000US13089023309,46509
1400000US13089023310,40830
1400000US13089023311,82019
1400000US13089023312,72651
1400000US13089023313,55143
1400000US13089023314,53858
1400000US13089023315,77260
1400000US13089023316,69120
1400000US13089023410,34132
1400000US13089023411,42606
1400000US13089023412,52180
1400000US13089023413,70811
1400000US13089023414,69542
1400000US13089023416,59340
1400000US13089023418,51555
1400000US13089023419,69087
1400000US13089023421,43165
1400000US13089023422,66552
1400000US13089023423,80858
1400000US13089023424,64375
1400000US13089023425,73652
1400000US13089023426,74083
1400000US13089023427,62969
1400000US13089023428,39408
1400000US13089023501,32000
1400000US13089023504,35611
1400000US13089023505,38231
1400000US13089023506,45924
1400000US13089023507,47012
1400000US13089023601,72303
1400000US13089023602,43100
1400000US13089023603,38156
1400000US13089023700,47712
1400000US13089023801,81103
1400000US13089023802,44676
1400000US13089023803,56821
1400000US13089980000,-
1400000US13091960100,39821
1400000US13091960200,39196
1400000US13091960300,43214
1400000US13091960400,36549
1400000US13091960500,42440
1400000US13091960600,32364
1400000US13093970100,36711
1400000US13093970200,37674
1400000US13093970300,40027
1400000US13095000100,28474
1400000US13095000200,19083
1400000US13095000400,40688
1400000US13095000501,56752
1400000US13095000502,70139
1400000US13095000600,40119
1400000US13095000700,50977
1400000US13095000800,13558
1400000US13095000900,31292
1400000US13095001000,36179
1400000US13095001100,30220
1400000US13095001403,21949
1400000US13095001500,18566
1400000US13095010302,23062
1400000US13095010401,83092
1400000US13095010402,39136
1400000US13095010403,78424
1400000US13095010500,50216
1400000US13095010601,19206
1400000US13095010602,33750
1400000US13095010700,23779
1400000US13095010900,46477
1400000US13095011000,57995
1400000US13095011200,41761
1400000US13095011300,43790
1400000US13095011400,19056
1400000US13095011600,56607
1400000US13097080102,63078
1400000US13097080103,48239
1400000US13097080201,65668
1400000US13097080202,55116
1400000US13097080301,43484
1400000US13097080303,41587
1400000US13097080304,39140
1400000US13097080402,86988
1400000US13097080403,73622
1400000US13097080404,70167
1400000US13097080505,48619
1400000US13097080506,61654
1400000US13097080507,72368
1400000US13097080508,64468
1400000US13097080509,88580
1400000US13097080510,77971
1400000US13097080511,99850
1400000US13097080602,73889
1400000US13097080603,81139
1400000US13097080604,66120
1400000US13099090100,33059
1400000US13099090200,27279
1400000US13099090300,38214
1400000US13099090400,28357
1400000US13099090500,29728
1400000US13101880100,44479
1400000US13101880200,37813
1400000US13103030100,60859
1400000US13103030202,57064
1400000US13103030203,59485
1400000US13103030204,62284
1400000US13103030301,100782
1400000US13103030303,75085
1400000US13103030304,60714
1400000US13103030305,67112
1400000US13103030401,70162
1400000US13103030402,73138
1400000US13105000100,37821
1400000US13105000200,37738
1400000US13105000300,41304
1400000US13105000400,35793
1400000US13105000500,39819
1400000US13107970100,37279
1400000US13107970200,31607
1400000US13107970300,40208
1400000US13107970400,35260
1400000US13107970500,41635
1400000US13107970600,38259
1400000US13109970100,35915
1400000US13109970200,52426
1400000US13109970300,36486
1400000US13111050100,41440
1400000US13111050200,41098
1400000US13111050300,51339
1400000US13111050400,49576
1400000US13111050500,60236
1400000US13113140101,78607
1400000US13113140102,73881
1400000US13113140203,94515
1400000US13113140204,86016
1400000US13113140206,128284
1400000US13113140207,115500
1400000US13113140208,86880
1400000US13113140303,89493
1400000US13113140304,93657
1400000US13113140305,97396
1400000US13113140306,87547
1400000US13113140307,188828
1400000US13113140403,83958
1400000US13113140404,79271
1400000US13113140405,111544
1400000US13113140406,52778
1400000US13113140407,72946
1400000US13113140408,100142
1400000US13113140501,102739
1400000US13113140502,80602
1400000US13115000100,43377
1400000US13115000201,58508
1400000US13115000202,69592
1400000US13115000300,64261
1400000US13115000400,65041
1400000US13115000500,27358
1400000US13115000600,31212
1400000US13115000700,67515
1400000US13115000800,70085
1400000US13115000900,58717
1400000US13115001100,21645
1400000US13115001200,47657
1400000US13115001300,38738
1400000US13115001400,69441
1400000US13115001600,29650
1400000US13115001701,59059
1400000US13115001702,38903
1400000US13115001800,44291
1400000US13115002000,51129
1400000US13115002100,28889
1400000US13117130101,92500
1400000US13117130102,83125
1400000US13117130103,74773
1400000US13117130104,88854
1400000US13117130105,45083
1400000US13117130201,98111
1400000US13117130202,114572
1400000US13117130203,90221
1400000US13117130204,74055
1400000US13117130205,73409
1400000US13117130301,117995
1400000US13117130302,128869
1400000US13117130303,92988
1400000US13117130304,132813
1400000US13117130305,118513
1400000US13117130306,124886
1400000US13117130307,113919
1400000US13117130403,73750
1400000US13117130404,145000
1400000US13117130405,113833
1400000US13117130406,78486
1400000US13117130408,63000
1400000US13117130409,66000
1400000US13117130410,47813
1400000US13117130503,109643
1400000US13117130504,79653
1400000US13117130505,92805
1400000US13117130506,93750
1400000US13117130507,78352
1400000US13117130508,129375
1400000US13117130509,92770
1400000US13117130510,127500
1400000US13117130601,90605
1400000US13117130602,103170
1400000US13117130603,143393
1400000US13117130604,161375
1400000US13117130605,128085
1400000US13117130606,118147
1400000US13117130607,136422
1400000US13117130608,138893
1400000US13117130609,140441
1400000US13117130610,153958
1400000US13117130611,149539
1400000US13117130612,143625
1400000US13117130613,102074
1400000US13119890101,39477
1400000US13119890102,53068
1400000US13119890200,47440
1400000US13119890300,49375
1400000US13119890400,27199
1400000US13121000100,168396
1400000US13121000200,158011
1400000US13121000400,97257
1400000US13121000500,90140
1400000US13121000600,53686
1400000US13121000700,84107
1400000US13121001001,103846
1400000US13121001002,31042
1400000US13121001100,109426
1400000US13121001201,80476
1400000US13121001202,93143
1400000US13121001300,76188
1400000US13121001400,84167
1400000US13121001500,66490
1400000US13121001600,78182
1400000US13121001700,94750
1400000US13121001800,49486
1400000US13121001900,62656
1400000US13121002100,68618
1400000US13121002300,26683
1400000US13121002400,28056
1400000US13121002500,30283
1400000US13121002600,33611
1400000US13121002800,33165
1400000US13121002900,71210
1400000US13121003000,113125
1400000US13121003100,62250
1400000US13121003200,111830
1400000US13121003500,53889
1400000US13121003600,53152
1400000US13121003700,23684
1400000US13121003800,20625
1400000US13121003900,33000
1400000US13121004000,32417
1400000US13121004100,54208
1400000US13121004200,18913
1400000US13121004300,36750
1400000US13121004400,23587
1400000US13121004800,19612
1400000US13121004900,84655
1400000US13121005000,75570
1400000US13121005200,111759
1400000US13121005300,102303
1400000US13121005501,37647
1400000US13121005502,21804
1400000US13121005700,25170
1400000US13121005800,42679
1400000US13121006000,38708
1400000US13121006100,29323
1400000US13121006200,37500
1400000US13121006300,31483
1400000US13121006400,30395
1400000US13121006500,50163
1400000US13121006601,44250
1400000US13121006602,25375
1400000US13121006700,25651
1400000US13121006801,-
1400000US13121006802,14375
1400000US13121006900,73429
1400000US13121007001,29528
1400000US13121007002,45451
1400000US13121007100,25489
1400000US13121007200,27083
1400000US13121007300,32044
1400000US13121007400,19740
1400000US13121007500,26205
1400000US13121007602,32500
1400000US13121007603,13456
1400000US13121007604,21863
1400000US13121007703,44452
1400000US13121007704,35814
1400000US13121007705,25906
1400000US13121007706,45101
1400000US13121007802,51388
1400000US13121007805,31174
1400000US13121007806,41529
1400000US13121007807,24398
1400000US13121007808,12485
1400000US13121007900,61125
1400000US13121008000,43854
1400000US13121008101,44878
1400000US13121008102,27119
1400000US13121008201,38080
1400000US13121008202,27093
1400000US13121008301,25060
1400000US13121008302,28318
1400000US13121008400,24183
1400000US13121008500,24890
1400000US13121008601,22696
1400000US13121008602,37708
1400000US13121008700,33732
1400000US13121008800,103385
1400000US13121008902,72432
1400000US13121008903,75978
1400000US13121008904,85517
1400000US13121009000,111146
1400000US13121009101,79489
1400000US13121009102,59444
1400000US13121009200,71482
1400000US13121009300,106128
1400000US13121009402,75088
1400000US13121009403,63269
1400000US13121009404,81004
1400000US13121009501,185521
1400000US13121009502,86053
1400000US13121009601,107386
1400000US13121009602,102778
1400000US13121009603,83243
1400000US13121009700,208750
1400000US13121009801,125375
1400000US13121009802,165583
1400000US13121009900,152500
1400000US13121010001,108197
1400000US13121010002,146182
1400000US13121010106,81952
1400000US13121010107,203636
1400000US13121010108,126711
1400000US13121010110,73727
1400000US13121010113,61583
1400000US13121010114,72450
1400000US13121010115,127688
1400000US13121010117,60731
1400000US13121010118,55023
1400000US13121010119,56402
1400000US13121010120,77500
1400000US13121010121,90451
1400000US13121010122,90586
1400000US13121010123,77969
1400000US13121010204,171875
1400000US13121010205,103828
1400000US13121010206,192375
1400000US13121010208,72022
1400000US13121010209,61575
1400000US13121010210,82212
1400000US13121010211,142750
1400000US13121010212,67350
1400000US13121010301,75636
1400000US13121010303,71457
1400000US13121010304,80641
1400000US13121010400,50980
1400000US13121010507,43986
1400000US13121010508,59474
1400000US13121010510,48051
1400000US13121010511,56719
1400000US13121010512,40215
1400000US13121010513,48344
1400000US13121010514,66144
1400000US13121010515,55883
1400000US13121010516,59783
1400000US13121010601,34508
1400000US13121010603,34830
1400000US13121010604,36044
1400000US13121010800,44881
1400000US13121011000,23546
1400000US13121011100,60333
1400000US13121011201,35670
1400000US13121011202,44614
1400000US13121011301,50893
1400000US13121011303,45942
1400000US13121011305,36707
1400000US13121011306,33587
1400000US13121011405,85081
1400000US13121011410,117157
1400000US13121011411,85114
1400000US13121011412,91222
1400000US13121011414,80389
1400000US13121011416,109417
1400000US13121011417,96635
1400000US13121011418,160820
1400000US13121011419,124358
1400000US13121011420,48988
1400000US13121011421,50326
1400000US13121011422,70833
1400000US13121011423,128085
1400000US13121011424,95410
1400000US13121011425,162672
1400000US13121011426,126375
1400000US13121011427,126452
1400000US13121011503,168750
1400000US13121011504,236149
1400000US13121011505,166938
1400000US13121011506,165266
1400000US13121011610,114464
1400000US13121011611,68620
1400000US13121011612,150901
1400000US13121011613,110066
1400000US13121011614,74184
1400000US13121011615,161263
1400000US13121011616,104176
1400000US13121011617,144125
1400000US13121011618,122857
1400000US13121011619,93750
1400000US13121011620,141513
1400000US13121011621,157692
1400000US13121011622,149583
1400000US13121011623,121389
1400000US13121011624,196016
1400000US13121011625,122361
1400000US13121011626,102699
1400000US13121011800,30972
1400000US13121011900,25699
1400000US13121012000,27188
1400000US13121012300,52188
1400000US13121980000,-
1400000US13123080100,49132
1400000US13123080200,56893
1400000US13123080300,52083
1400000US13123080400,48292
1400000US13123080500,54824
1400000US13125010100,45000
1400000US13127000101,64659
1400000US13127000102,76212
1400000US13127000200,93393
